1, 124
1, 26
1, 29
1, 327
1, 251
1, 32
1, 67
1, 54
1, 30
1, 28
1, 319
1, 326
1, 32
1, 29
1, 27
1, 180
1, 81
1, 34
1, 96
1, 29
1, 205
1, 30
1, 29
1, 110
1, 154
1, 27
1, 30
1, 29
1, 29
1, 35
1, 63
1, 31
1, 250
1, 43
1, 27
1, 160
1, 50
1, 32
1, 76
1, 84
1, 30
1, 30
1, 28
1, 28
1, 31
1, 193
1, 175
1, 33
1, 33
1, 30
1, 95
1, 157
1, 32
1, 139
1, 134
1, 60
1, 149
1, 153
1, 342
1, 156
1, 48
1, 216
1, 26
1, 30
1, 25
1, 29
1, 28
1, 30
1, 30
1, 53
1, 198
1, 30
1, 28
1, 27
1, 77
1, 100
1, 32
1, 186
1, 253
1, 220
1, 130
1, 127
1, 29
1, 31
1, 152
1, 25
1, 40
1, 49
1, 306
1, 117
1, 102
1, 68
1, 32
1, 29
1, 104
1, 43
1, 28
1, 43
1, 52
1, 31
2, 654
3, 1000
4, 966
5, 1000
6, 879
7, 1000
2, 175
3, 103
4, 671
5, 1000
6, 1000
7, 982
2, 43
3, 62
4, 698
5, 224
6, 143
7, 262
2, 397
3, 632
4, 1000
5, 883
6, 1000
7, 1000
2, 294
3, 1000
4, 671
5, 818
6, 577
7, 1000
2, 48
3, 216
4, 513
5, 406
6, 446
7, 580
2, 577
3, 284
4, 490
5, 595
6, 317
7, 287
2, 297
3, 416
4, 120
5, 850
6, 1000
7, 924
2, 68
3, 434
4, 352
5, 1000
6, 1000
7, 335
2, 106
3, 75
4, 129
5, 156
6, 535
7, 425
2, 75
3, 691
4, 1000
5, 509
6, 1000
7, 924
2, 406
3, 301
4, 756
5, 235
6, 461
7, 398
2, 103
3, 429
4, 95
5, 501
6, 1000
7, 379
2, 235
3, 100
4, 247
5, 182
6, 233
7, 787
2, 85
3, 222
4, 708
5, 184
6, 1000
7, 530
2, 224
3, 713
4, 530
5, 1000
6, 1000
7, 939
2, 75
3, 1000
4, 221
5, 580
6, 732
7, 1000
2, 145
3, 286
4, 432
5, 505
6, 720
7, 629
2, 237
3, 378
4, 1000
5, 1000
6, 1000
7, 1000
2, 293
3, 450
4, 670
5, 1000
6, 1000
7, 1000
2, 103
3, 652
4, 1000
5, 1000
6, 1000
7, 753
2, 62
3, 81
4, 403
5, 1000
6, 1000
7, 1000
2, 51
3, 155
4, 391
5, 213
6, 693
7, 262
2, 72
3, 173
4, 104
5, 162
6, 901
7, 730
2, 354
3, 343
4, 351
5, 489
6, 784
7, 432
2, 277
3, 340
4, 208
5, 360
6, 727
7, 574
2, 127
3, 109
4, 175
5, 136
6, 184
7, 385
2, 130
3, 118
4, 381
5, 516
6, 396
7, 379
2, 62
3, 80
4, 384
5, 232
6, 443
