1, 308
1, 69
1, 145
1, 201
1, 121
1, 93
1, 391
1, 89
1, 458
1, 93
1, 73
1, 238
1, 193
1, 551
1, 213
1, 203
1, 85
1, 120
1, 343
1, 124
1, 336
1, 403
1, 302
1, 145
1, 308
1, 367
1, 296
1, 161
1, 181
1, 204
1, 299
1, 76
1, 394
1, 220
1, 290
1, 270
1, 89
1, 121
1, 121
1, 329
1, 133
1, 464
1, 157
1, 97
1, 396
1, 199
1, 65
1, 97
1, 310
1, 262
2, 145
3, 257
4, 401
2, 251
3, 691
4, 842
2, 436
3, 787
4, 922
2, 431
3, 545
4, 502
2, 205
3, 289
4, 572
2, 163
3, 490
4, 560
2, 562
3, 321
4, 962
2, 557
3, 313
4, 932
2, 145
3, 796
4, 331
2, 363
3, 514
4, 1727
2, 432
3, 607
4, 459
2, 498
3, 786
4, 1031
2, 533
3, 835
4, 1672
2, 442
3, 1719
4, 481
2, 175
3, 947
4, 912
2, 229
3, 449
4, 391
2, 401
3, 361
4, 600
2, 896
3, 657
4, 311
2, 600
3, 700
4, 832
2, 624
3, 747
4, 1088
2, 974
3, 779
4, 491
2, 606
3, 1180
4, 862
2, 555
3, 1011
4, 882
2, 157
3, 692
4, 411
2, 316
3, 507
4, 1072
2, 484
3, 756
4, 321
2, 157
3, 273
4, 381
2, 474
3, 710
4, 470
2, 418
3, 505
4, 921
2, 491
3, 554
4, 1245
2, 420
3, 539
4, 951
2, 203
3, 489
4, 461
2, 568
3, 305
4, 511
2, 569
3, 1229
4, 1022
2, 684
3, 802
4, 742
2, 491
3, 577
4, 1452
2, 432
3, 361
4, 301
2, 335
3, 852
4, 321
2, 233
3, 498
4, 1653
2, 139
3, 433
4, 351
2, 139
3, 847
4, 902
2, 265
3, 883
4, 1666
2, 175
3, 642
4, 1684
2, 685
3, 1180
4, 912
2, 145
3, 820
4, 871
2, 451
3, 449
4, 872
2, 497
3, 1260
4, 341
2, 265
3, 564
4, 431
2, 382
3, 385
4, 511
2, 426
3, 433
4, 381
